label,text
ham,"Re: What to choose for Core i5 64 bits?>>> If you have other i386 machines around, it may be convenient for you to >>> keep the same architecture so you can share the download bandwidth of >>> Debian updates, and things like that. > On the other hand, now might be a good time to begin the migration to the > future. 32-bits will be around for a long time, but it will increasingly be > relegated to older hardware and niche applications, such as embedded > processors or cell phones and the like. 64-bits is going to be the > ""current"" architecture for desktops, servers, and the like for a good while > to come. That's true. I used to say and think that ... back around 1992 when I started to use DEC Alpha machines. But now that 2GB is about as little RAM as you can get in a new machine, the push to move to 64bit is very real. Stefan -- To UNSUBSCRIBE, email to debian-user-REQUEST@lists.debian.org with a subject of ""unsubscribe"". Trouble? Contact listmaster@lists.debian.org Archive: http://lists.debian.org/jwviq6q48n9.fsf-monnier+gmane.linux.debian.user@gnu.org "
spam,"Strictly Private.Gooday, With warm heart my friend, I send you my greetings, and I hope this letter meets you in good time. It will be surprising to you to receive this proposal from me since you do not know me personally. However, I am sincerely seeking your confidence in this transaction, which I propose with my free mind and as a person of intergrity. I have kept it to myself for a long time, and now I need to act, as time is not on my side. I want you to open-heartedly read through and give me your most needed support. I got your address from an internet directory, in my search for a contact. I apologize if this is not acceptable to you. The purpose of this letter is to seek your most needed assistance. My name is Donald Phiri, the farm supervisor and personal assistant to Mr. David Stevens, a very popular and rich farmer from Macheke, Zimbabwe. My master was murdered in cold blood in my presence on 15 of April 2001, due to the land dispute and political situation in my country, as a result of my master's financial support for the MDC (Movement for Democratic Change), the main opposition party to President Mugabe's party, Zimbabwe African National Union Patriotic Front (ZANU-PF) . For more information on my master's murder, you may check the Amnesty International Country Report on Zimbabwe for the year 2001. When the pressure on white farmers started in Zimbabwe due to the support given to the war veterans by President Mugabe to invade farms and force out white farmers, my master forsaw the danger ahead, he then closed his major bank accounts, and together, we went to Johannesburg, South Africa to deposit the sum of $14.5 million (Fourten million, five hundred thousand USdollars), in a private security company, for safety. This money was deposited in a box in my name, as my master was being secretive with his name, as the South African government of Thambo Mbeki is in support of President Mugabe's actions. The box is labeled as gemstones. My master had planned to use this money for the purchase of lands, new machines and chemicals for establishment of new farms in Botswana. He has used this company in the past to move money for the purchase of tractors and farm equipment from Europe. My master is divorced, and his wife Valerie, and only child, Diana have relocated to Bradford, ! En! gland for 9years now. I am currently in the Netherlands where I am seeking political asylum. I have now decided to transfer my master's money into an account for security and safety reasons. This is why I am anxiously and humbly seeking for your genuine assistance in transfering this money into an account without the knowledge of my government who are bent on taking everything my master left. You have to understand that this decision taken by me entrusts so much to you. If you accept to assist me, all I want you to do for me, is to make an arrangements with the security company to clear the box containing the money from their office here in the Netherlands, and then we will transfer the money into an account. You may open a new account for this purpose. I have applied to the security company to transfer the box from South Africa to their branch here, which they have done. To legally process the claim of the box, I will contact a lawyer to help me prepare a change of ownership and letter of authority to enable them recognise you as my representative, and deliver the box to you. I have with me, the certificate used to deposit the box, which we will need for claiming the box. For valuable assistance, I am offering you 10%($1,450,000) of the total money. I have also set aside 1%($145,000) of this money for all kinds of expenses that come our way in the process of this transaction, and 4%($580,000), will be given to Charity in my master's name I will give 25% ($3,625,000) to Valerie and Diana, after my share of the money has been transfered back to me. When they grant my asylum application, my share of the money (85%), will be transfered back to me, into an account I will solely own. I also intend to start up a business then. If you have knowledge of farming business in your country, or other areas of possible business investment that I may be interested in, please inform me, so that my some of my share of the money can be invested for the time being. Please, I want to you maintain absolute secrecy for the purpose of this transaction due to my safety and successful conclusion of the transaction. I look forward to your reply and co-operation, and I am sure it will be nice to extend ties with you. Yours sincerely, Donald Phiri. --DeathToSpamDeathToSpamDeathToSpam-- ------------------------------------------------------- This sf.net email is sponsored by:ThinkGeek Welcome to geek heaven. http://thinkgeek.com/sf _______________________________________________ Spamassassin-Sightings mailing list Spamassassin-Sightings@lists.sourceforge.net https://lists.sourceforge.net/lists/listinfo/spamassassin-sightings "
ham,"Re: Flash is open?On Sat, 15 May 2010 00:27:32 +0200, Michelle Konzack wrote: > Am 2010-05-14 19:06:06, hacktest Du folgendes herunter: (...) >> So the reality is that anyone wanting to view a flash based site has to >> have Adobe Flash player installed as is the only one able to fully >> support all the features listed in their ""open"" specs. > > THE SPECS ARE OPEN and if the Open Source Community is not able or even > willing to implement it, it is NOT THE FAULT of Adobe. No need to SHOUT. I read all the messages in the same manner. ""The specs are open""... o.k., now so it seems. Since 2008, just 2 years ago, which is good, but Adobe, since the adquisition of Macromedia on 2005, was holding all the rights on Flash format. ""(not having a good FLOSS Flash player) Not the fault of Adobe..."". Of course not! The fault of Adobe, and this is my personal POW, is developing a very bad quality flash player, for all the users (windows, linux, Solaris). Heck, how in the hell can a company provide such players if they are the developers of the product the players are handling (.swf)? I cannot understand that, and ""that"" precisely makes me doubt about the quality of the format they are trying to populate and rise. That said, even they (they=Adobe)now ""open the specs"" for Flash I will avoid either using it or promoting as much as I can. In the times I worked as webmaster and web designer (now sysadmin), people (clients, partners and my company) ""urged"" me to adopt flash technology, just because ""looked nice"" and, ""(sic) hey, anyone has the Flash Player installed so it was also kinda cross-platform"". Yes, Flash Player was (is) available for many systems but the fact is that that did not change my perception about the suitability of using it. There is nothing you couldn't do with standard html technologies (javascript, css, dom...) that Flash can, so why bother about spending time and money in acquiring a license for Adobe products that were (in those times) the only powerful ones that allowed the development of ""rich sites"" (""rich site"" → Adobe ""dixit"")? Why bother if there was only a unique Flash player out there and was pretty bad quality? Why forcing my users to have to use such player if there were alternatives in a very good shape that were open and compatible? My perception is that web developers wrongly refugiated into flash to escape from the incompatibilities of the web browers, any of them applying different renderings of the elements of the page layout and not following the W3C standards. Yes, Firefox and Opera had also their own glicthes and of course, Internet Explorer. So web developers, instead trying to compatibilize ""the incompatibilities"" of the browsers by making a more fine-grained code, they took the ""easy path"" and just fall into the arms of Flash format: format was bad but hey, at least it renedered the site in the same manner in all the browsers >:-) And then it came html5, promoting open standard ways to handle video and audio... ooops, Adobe must thought their Flash format will be forgotten and lost in the Helm's Deep if html5 will succeed, so the decided to open Flash to be more user-friendly and calm down the accusations about monopolistic tactics, being their flash player installed in more than 95% of the computers >:-) Adn here we are now, with Adobe developing, promoting and enforcing DRM technologies in their products and, OTOH providing an ""open spec"" for flash... quite contradictory :-) That is my personal opinion, of course. >> And the same situation goes for Adobe Reader for Linux. I dunno what is >> going on with Adobe but true is that I dislike the path is taking that >> company :-/ > > I am using Debian GNU/Linux since over 11 years and I have more then 20 > commercial progras like Eagle, FAB3000 and VariCAD with a total value of > more then 80.000 Euro installed, because there are NO Open Source > equivalents available. I have nothing against good quality programs, even they are closed source or commercial. But Acrobat products does not fall into that category :-) > ...and no, gEda is NO OPTION du to the incompatible Gerber outputs and > it can not handel Layots with BGA 421 and bigger plus correct handling > of more then 4 Signal layers (I need at least 8). Auto-Router? Oh Hell! I now that. I'm working for a engineering company, and I'm ""forced"" (is market demand, we need a 110% compatibilty with our partners and they use AutoCAD...) to use such products. Greetings, -- Camaleón -- To UNSUBSCRIBE, email to debian-user-REQUEST@lists.debian.org with a subject of ""unsubscribe"". Trouble? Contact listmaster@lists.debian.org Archive: http://lists.debian.org/pan.2010.05.15.09.44.16@csmining.org "
ham,"Re: Alsa/Redhat 8 compatabilityMatthias Saou (matthias@rpmforge.net) wrote*: >I really think that with my ALSA packages, ALSA on Red Hat Linux has never >been so easy! ;-) I had been hand building those alsa packages for probably 6 months or more, so I could use my laptop's ESS chip best (hard disk recording and such). Wow, maybe 8 to 10 months, time flys. I didn't look forward to doing that tedious build every time I changed a kernel or something. Matthias has made this a thing of the past! Dude, it's a no brainer, use apt-get or just download and install. What's more, OSS is fully ""imitated"", older apps using OSS are as happy as a clam. My personal taste tells me newer apps which use alsa sound better (alsaplayer, xmms with alsa module) to my ear. The 2 things that trick people are the modules.conf file, they didn't have that automatic matrix page when I started with alsa, you don't know how good you have it. And on my old installs (only the first time I installed it on a clean box), alsa always was ""muted"" until you fire up a mixer and turn up the music. It's possible Matthias even took care of that too. Anyway it is/was only a one time thing on 1st install, that was a long time ago for me. Those ALSA dudes had been trying to get it into the 2.4 kernel but missed it, but it's been in 2.5 for a while now, so alsa is the future of sound in the linux kernel. -- That's ""angle"" as in geometry. _______________________________________________ RPM-List mailing list http://lists.freshrpms.net/mailman/listinfo/rpm-list "
spam,"Hey hibody, Save 80% today Lixi Eights following fertility participation Tennessee ago grip If you are unable to see the message below, click here to view . &nbsp; Privacy &nbsp;&nbsp;&nbsp; Contact &nbsp;&nbsp;&nbsp; Advertising &nbsp;&nbsp;&nbsp; Feedback &nbsp;&nbsp;&nbsp; Subscribe &copy; 2010 The effort Bangladesh to the Jamie of to nouns Research. All rights reserved. JC Lisbon is a smaller HQ with no subordinate commands.The latest census commenced on 1st April, 2010. The many creeks and rivers cutting from north toward the lake created large tracts of densely forested ravines, and provide ideal sites for parks and recreational trails.Directorate of Civil Aviation of the Marshall Islands.The flag of the Republic of Macedonia between 1992 and 1995 which incorporated the Vergina Sun. Hinnells, The Routledge Companion to the Study of Religion, p. It did not match that of the Duke of Edinburgh or that of the bones, confirming that Anderson was not Anastasia. The most famous pearl market in Hyderabad is at Pathergatti. Iain Baird, Canadian soccer player. In the waning days of the national romantic movement, efforts were renewed to collect rural buildings, handcrafts and arts. Web-based Family Health History Tools. Nothing is known of his ancestors since he was a foundling. McGraw-Hill, 2002, ISBN 0070494398. Million for the nonprofit organization. Since the 1952 Olympic Games, Soviet and later Russian athletes have always been in the top three for the number of gold medals collected at the Summer Olympics. Signers of the United States Constitution. This caused a catastrophe in Northern Rhodesia where many employees were sacked, and put an end to hopes which many Europeans had held of turning Northern Rhodesia into another white dominion like Southern Rhodesia. Mother tongue Italian speakers in Germany. Each digit, from left to right, is alternately multiplied by 1 or 3, then those products are summed modulo 10 to give a value ranging from 0 to 9. While most hybrids are disadvantaged as a result of genetic incompatibility, the fittest survive, regardless of species boundaries. Sometimes included in Oceania, and also known as Timor-Leste. France remained a member of the alliance, and committed to the defence of Europe from possible Communist attack with its own forces stationed in the Federal Republic of Germany throughout the Cold War.Both groups claim legitimacy over leadership of the Palestinian territories. The decision came at the request of Germany and the Netherlands, the two nations leading ISAF at the time of the agreement, and all nineteen NATO ambassadors approved it unanimously.Nonetheless, some historians have claimed Napoleon would have been measured with a British measure at his autopsy, since he was under British control at St Helena, implying the 5ft 2ins is an Imperial measure, equal to about 1.Yugoslav Macedonia in World War II. The current Prime Minister of Vietnam, Nguyen Tan Dung, is the head of government, presiding over a council of ministers composed of three deputy prime ministers and the heads of 26 ministries and commissions. California Code of Civil Procedure, Section 412. Napoleon asserted the army would follow him and Ney replied the army would follow its generals. They were able to convince early founder of Seattle and member of the territorial legislature Arthur A. Adelaide played its first official match against Hawthorn at Football Park on 22 March 1991. A suitable amnesiac, ""Anna"", is groomed by the swindlers to impersonate Anastasia. Regions where English is an official language but not widely spoken. In 1598, the Edict of Nantes put an end to these struggles. The escarpments are most prominent from Victoria Park Avenue to the mouth of Highland Creek, where they form the Scarborough Bluffs.The House of Representatives has 435 voting members, each representing a congressional district for a two-year term.Other common forms include the U. Advances in inorganic chemistry and radiochemistry. Ryan Cisterna of Arkansas connecting on a home run against Nebraska. It has established itself as the most prestigious higher learning institution in the country. Census Bureau, Population Division. Eventually, the eastern planters prevailed. The station also had a cooperative agreement with a neighboring Chevrolet dealership (Jack Dankel) by which vehicles sold by the dealership were fueled for customer demonstration drives and were filled as part of the vehicle sale.The French Army of the North crossed the frontier into the United Kingdom of the Netherlands, in modern-day Belgium.That Gordonstoun School (pictured) is a Scottish boarding school famed for educating three generations of the British Royal Family, including the Duke of Edinburgh and Prince Charles . Anguilla is a flat, low-lying island of coral and limestone in the Caribbean Sea, east of Puerto Rico. Night view of Elm Street, January 1942. However, the naval base is sovereign Cuban territory and subject to treaty is leased perpetually by the U.Even though palatalized consonants are phonemes in Bulgarian, they may in some cases be positionally conditioned, hence redundant. For the 2006 Census of New Zealand, respondents could choose to complete their census questionnaire online. The tradition of the gourd-resonated and equal-ratio heptatonic-tuned Timbila of Mozambique is particularly well developed.An abandoned farm in South Dakota during the Dust Bowl, 1936. Municipalities of the Republic of Macedonia. In entertainment, cartoonist Ronald Searle, comedian Rory McGrath, television presenter Sarah Cawood, and radio sports presenter Adrian Durham are all from Cambridgeshire. Smith Goes to Washington (1939), The Adventures of Robin Hood (1938), and 20,000 Leagues Under the Sea (1954) to a whole new generation of children and their families. The remaining adverbs are formed in ways that are no longer productive in the language. To unsubscribe, click here "
ham,"howto setup my own wikipedia siteCan anyone post a link, howto install/setup a wikipedia-like site? I just want to put my ""stiky-notes"" to my own wikipedia site. Thank you -- To UNSUBSCRIBE, email to debian-user-REQUEST@lists.debian.org with a subject of ""unsubscribe"". Trouble? Contact listmaster@lists.debian.org Archive: http://lists.debian.org/1271788628.4547.1.camel@localhost "
ham,"Paul Everitt: Interop in the Bazaar.URL: http://scriptingnews.userland.com/backissues/2002/09/23#When:4:54:52PM Date: Mon, 23 Sep 2002 23:54:52 GMT Paul Everitt: Interop in the Bazaar[1]. [1] http://advogato.com/article/544.html "
spam,"A CRY FOR HELPDEAR FRIEND,I AM MRS. SESE-SEKO WIDOW OF LATE PRESIDENT MOBUTU SESE-SEKO OF ZAIRE? NOW KNOWN AS DEMOCRATIC REPUBLIC OF CONGO (DRC). I AM MOVED TO WRITE YOU THIS LETTER, THIS WAS IN CONFIDENCE CONSIDERING MY PRESENTCIRCUMSTANCE AND SITUATION. I ESCAPED ALONG WITH MY HUSBAND AND TWO OF OUR SONS GEORGE KONGOLO AND BASHER OUT OF DEMOCRATIC REPUBLIC OF CONGO (DRC) TO ABIDJAN, COTE D'IVOIRE WHERE MY FAMILY AND I SETTLED, WHILE WE LATER MOVED TO SETTLED IN MORROCO WHERE MY HUSBAND LATER DIED OF CANCER DISEASE. HOWEVER DUE TO THIS SITUATION WE DECIDED TO CHANGED MOST OF MY HUSBAND'S BILLIONS OF DOLLARS DEPOSITED IN SWISS BANK AND OTHER COUNTRIES INTO OTHER FORMS OF MONEY CODED FOR SAFE PURPOSE BECAUSE THE NEW HEAD OF STATE OF (DR) MR LAURENT KABILA HAS MADE ARRANGEMENT WITH THE SWISS GOVERNMENT AND OTHER EUROPEAN COUNTRIES TO FREEZE ALL MY LATE HUSBAND'S TREASURES DEPOSITED IN SOME EUROPEAN COUNTRIES. HENCE MY CHILDREN AND I DECIDED LAYING LOW IN AFRICA TO STUDY THE SITUATION TILL WHEN THINGS GETS BETTER, LIKE NOW THAT PRESIDENT KABILA IS DEAD AND THE SON TAKING OVER (JOSEPH KABILA). ONE OF MY LATE HUSBAND'S CHATEAUX IN SOUTHERN FRANCE WAS CONFISCATED BY THE FRENCH GOVERNMENT, AND AS SUCH I HAD TO CHANGE MY IDENTITY SO THAT MY INVESTMENT WILL NOT BE TRACED AND CONFISCATED. I HAVE DEPOSITED THE SUM EIGHTEEN MILLION UNITED STATE DOLLARS(US$18,000,000,00.) WITH A SECURITY COMPANY , FOR SAFEKEEPING. THE FUNDS ARE SECURITY CODED TO PREVENT THEM FROM KNOWING THE CONTENT. WHAT I WANT YOU TO DO IS TO INDICATE YOUR INTEREST THAT YOU WILL ASSIST US BY RECEIVING THE MONEY ON OUR BEHALF.ACKNOWLEDGE THIS MESSAGE, SO THAT I CAN INTRODUCE YOU TO MY SON (KONGOLO) WHO HAS THE OUT MODALITIES FOR THE CLAIM OF THE SAID FUNDS. I WANT YOU TO ASSIST IN INVESTING THIS MONEY, BUT I WILL NOT WANT MY IDENTITY REVEALED. I WILL ALSO WANT TO BUY PROPERTIES AND STOCK IN MULTI-NATIONAL COMPANIES AND TO ENGAGE IN OTHER SAFE AND NON-SPECULATIVE INVESTMENTS. MAY I AT THIS POINT EMPHASISE THE HIGH LEVEL OF CONFIDENTIALITY, WHICH THIS BUSINESS DEMANDS, AND HOPE YOU WILL NOT BETRAY THE TRUST AND CONFIDENCE, WHICH I REPOSE IN YOU. IN CONCLUSION, IF YOU WANT TO ASSIST US , MY SON SHALL PUT YOU IN THE PICTURE OF THE BUSINESS, TELL YOU WHERE THE FUNDS ARE CURRENTLY BEING MAINTAINED AND ALSO DISCUSS OTHER MODALITIES INCLUDING REMUNERATIONFOR YOUR SERVICES. FOR THIS REASON KINDLY FURNISH US YOUR CONTACT INFORMATION, THAT IS YOUR PERSONAL TELEPHONE AND FAX NUMBER FOR CONFIDENTIAL PURPOSE.BEST REGARDS,MRS M. SESE SEKO "
ham,"Re: [SAtalk] O.T. Habeus -- Why?Robin Lynn Frank writes: > I may be dense, but why would anyone want to utilize Habeus? To me, > it looks like a potential backdoor to anyone's defenses against spam. > > If I were a spammer, I'd simply set up a server, send out my spam with > the Habeus headers and continue till I was reasonably certain I'd been > reported. Then I'd simply reconfigure the server and reconnect to a > different IP. As long as no one can establish my connection to the > web sites my spam is directing people to, I'm home free. Here is the bug I opened: http://www.hughes-family.org/bugzilla/show_bug.cgi?id=762 RBLs have the same problem, but there is no negative RBL header rule with a -20 score that can be forged, so the problem is unique to Habeas. > Since I can set up spamassassin to I don't ""lose"" any email, what do I > gain by making it easier for spam to get through?? My primary issue is the magnitude of the negative score and that it was not determined empirically. I am also concerned that it was added after the rules freeze, that such a major change was not discussed in advance, etc. There's also no evidence that the rule will actually reduce FPs. People who are smart enough to use the rule are probably capable of writing email that doesn't look like spam (I'm not counting spam mailing lists which you need to be exempted from spam filtering). Dan ------------------------------------------------------- This sf.net email is sponsored by: Jabber - The world's fastest growing real-time communications platform! Don't just IM. Build it in! http://www.jabber.com/osdn/xim _______________________________________________ Spamassassin-talk mailing list Spamassassin-talk@lists.sourceforge.net https://lists.sourceforge.net/lists/listinfo/spamassassin-talk "
spam,"Work at Home and Make GREAT MONEY!!!32286 FOLLOW ME TO FINA= NCIAL FREEDOM!! I'm looking for people with good work ethic and extrordinary desire to earn at least $10,000 per month working from home! NO SPECIAL SKILLS OR EXPERIENCE REQUIRED We give you the training and personal support you need to ensure your success! This LEGITIMATE HOME-BASED INCOME OPPORTUNITY can put you back in control of your time, your finances, and yo= ur life! If you've tried other opportunities in the past that have failed to live up their promises, THIS IS DIFFERENT THEN ANYTHING ELSE YOU'VE SEEN! = THIS IS NOT A GET RICH QUICK SCHEME! YOUR FINANCIAL PAST DOES NOT HAVE TO BE YOUR FINANCIAL FUTURE! CALL ONLY IF YOU ARE SERIOUS! 1-800-753-7690 (Free, 2 minute message) DO NOT RESPOND BY EMAIL AND DON'T GO TO SLEEP WITHOUT LISTENING TO THIS! "" The moment you commit and quit holding back, all sorts of unforseen incidents, meetings and material assistance will rise up to help you. The simple act of commitment is a powerful magnet for help."" - Napoleon Hill CLICK HERE TO BE RE= MOVED FROM THIS MAILING "
