lang,text
polish,"""Apeluje do wiceprzewodniczącej Komisji/wysokiej przedstawiciel Unii Europejskiej do spraw zagranicznych i polityki bezpieczeństwa, do Rady i Komisji o wsparcie dalszych wysiłków służących wzmocnieniu procesu rozliczania winnych w Sri Lance i o poparcie raportu ONZ, przede wszystkim stworzenie międzynarodowego niezależnego międzynarodowego mechanizmu wymiaru sprawiedliwości.”"
polish,"""Komisja przypomina, że zależy jej, by państwa członkowskie tworzyły tabele korelacji łączące przyjmowane środki transpozycji z przedmiotową dyrektywą UE i by przekazywały informacje o tych tabelach Komisji w ramach transpozycji prawodawstwa UE w interesie obywateli, lepszego stanowienia prawa i zwiększania jego przejrzystości oraz w celu pomocy w analizie tego, na ile przepisy krajowe są zgodne z przepisami unijnymi."
polish,"""Mobilna młodzież”- ramy dla ulepszania europejskiego systemu kształcenia ogólnego i zawodowego - Nauczanie początkowe - Kulturowy wymiar działań zewnętrznych UE - Uwalnianie potencjału przedsiębiorstw z branży kultury i branży twórczej - Sarajewo Europejską Stolicą Kultury w 2014 roku (debata)"
polish,"""Nowa strategia dla jednolitego rynku” - wskazuje, że chociaż swoboda przemieszczania się pracowników stanowi sukces z perspektywy prawnej, to jest ona jednak jedną z najmniej wykorzystywanych swobód jednolitego rynku."
polish,"""Rada uważa przejrzystość za zasadę o pierwszorzędnym znaczeniu dla Unii Europejskiej."
polish,"""Trochę szkoda”, choć bowiem sytuacja w państwach członkowskich jest trudna, jeśli chodzi o finanse publiczne, powinniśmy robić wszystko co w naszej mocy, aby reinwestować pozyskane przychody, na przykład w priorytetowe projekty dotyczące transeuropejskiej sieci transportowej (TEN-T). Panie Komisarzu Kallas! Sprawowanie ścisłego nadzoru będzie należeć do Komisji. ""Szkoda” również dlatego, że osobiście ubolewam nad tym ""porozumieniem minimum”, jeśli chodzi o zamiar zmniejszenia zagęszczenia ruchu: choć w proponowanym porozumieniu została zachowana koncepcja dotycząca godzin poza szczytem, metody, którymi państwa członkowskie będą musiały ją realizować, są słabe."
polish,"""Unia innowacji” nadal pozostaje najważniejszą unijną inicjatywą na rzecz opracowania zintegrowanej europejskiej strategii badań i innowacji."
polish,"""Współpraca terytorialna” jest jednym z filarów unijnej polityki spójności, która ma na celu usunięcie barier fizycznych, administracyjnych i regulacyjnych oraz ograniczenie ""efektu granicznego” między terytoriami i regionami, z myślą o promowaniu harmonijnego rozwoju umożliwiającego im wspólne stawienie czoła wyzwaniom w przyszłości. Zgodnie z logiką strategii Europa 2020, lepsze dysponowanie funduszami funduszy jest ważne dla odpowiedniego reagowania na potrzeby i specyfikę terytoriów Europy."
polish,"""Z myślą o zapewnieniu spójności strategii politycznych UE, w szczególności strategii dotyczących krajów i terytoriów zamorskich (KTZ), wzywa Komisję Europejską, by dopilnowała, że w przyszłym porozumieniu między UE i Kanadą znajdzie się zapis o ochronie interesów KTZ w zakresie ich strategicznych produktów”."
polish,"""Z przyjemnością informuję Państwa, że mamy dziś zaszczyt powitać marszałka polskiego Senatu Bogdana Borusewicza, przewodniczącą Sejmu Republiki Litewskiej Irenę Degutienoraz przewodniczącego Rady Najwyższej Ukrainy Wołodymyra Łytwyna."
polish,"""apeluje do Rady, aby pilnie wysłała pomoc humanitarną do Misraty i innych skupisk ludności, wykorzystując w tym celu marynarkę; jest głęboko zaniepokojony rosnącą liczbą ofiar konfliktu w Libii oraz doniesieniami o stosowaniu przez reżim Kadafiego przeciw ludności cywilnej amunicji kasetowej i innych rodzajów broni;”"
polish,"""uważa, że należy uwzględnić zarówno umowy zawierane między przedsiębiorstwami, jak i umowy konsumenckie; podkreśla konieczność zapewnienia w oparciu o opcjonalny instrument bardzo wysokiego poziomu ochrony konsumenta, tak aby zrekompensować konsumentom ochronę, którą byliby normalnie objęci na mocy prawa krajowego; zwraca się o dalsze wyjaśnienia, jak można tego dokonać”."
polish,(Hałas przez dłuższą chwilę)
polish,"(Mówca zgodził się odpowiedzieć na pytanie zadane przez podniesienie niebieskiej kartki, zgodnie z art. 149 ust. 8 Regulaminu)"
polish,(Mówca zgodził się odpowiedzieć na pytanie zadane zgodnie z procedurą niebieskiej kartki na mocy art. 149 ust. 8 Regulaminu)
polish,(Mówca zgodził się odpowiedzieć na pytanie zadane zgodnie z regułą niebieskiej kartki na mocy art. 149 ust. 8 Regulaminu))
polish,(Mówczyni zgodziła się odpowiedzieć na pytanie zadane za pomocą niebieskiej kartki zgodnie z art. 149 ust. 8 Regulaminu)
polish,(Mówczyni zgodziła się odpowiedzieć na pytanie zgodnie z procedurą niebieskiej kartki przewidzianą w art. 149 ust. 8)
polish,(Posiedzenie zawieszono na kilka minut)
